id,target,md_target
mg4si7_struct_21.vasp,-85.296483,-85.27784398085456
mg4si7_struct_22.vasp,-85.25386,-82.95485628328956
mg4si7_struct_23.vasp,-85.355597,-83.74186717190938
mg4si7_struct_24.vasp,-85.484117,-84.8481384709397
mg4si7_struct_25.vasp,-85.140366,-84.75193909503578
mg4si7_struct_26.vasp,-84.863789,-85.5236588151978
mg5si6_struct_01.vasp,-39.736435,-39.48765441296362
mg5si6_struct_02.vasp,-39.735201,-39.786725438275866
mg5si6_struct_03.vasp,-39.73811,-39.114270707320074
mg5si6_struct_04.vasp,-79.217923,-78.90271201616635
mg5si6_struct_05.vasp,-79.2171,-79.07339933815709
mg5si6_struct_06.vasp,-79.191499,-80.63958950347995
mg5si6_struct_08.vasp,-79.110506,-77.05739114876646
mg5si6_struct_09.vasp,-79.111597,-79.1104296099723
mg5si6_struct_10.vasp,-79.098897,-78.27522371342825
mg5si6_struct_11.vasp,-78.871694,-78.00567113114732
mg5si6_struct_15.vasp,-78.711955,-79.70958328223816
mg5si6_struct_16.vasp,-78.614192,-82.33541790595314
mg5si6_struct_17.vasp,-78.555527,-78.33999824685509
mg5si6_struct_19.vasp,-78.56356,-78.22744073377132
mg5si6_struct_20.vasp,-78.4245,-74.20102670949038
mg5si6_struct_22.vasp,-78.385517,-78.42249614545196
mg5si6_struct_23.vasp,-78.274831,-73.42832611606514
mg5si6_struct_24.vasp,-78.26676,-75.67314528667784
mg5si6_struct_25.vasp,-78.186204,-69.96601568778819
mg5si6_struct_26.vasp,-78.116206,-78.68338690960589
mg5si6_struct_27.vasp,-78.094166,-82.1238044926346
mg5si6_struct_28.vasp,-78.081032,-75.49785493247691
mg5si6_struct_30.vasp,-77.960712,-78.38894659004418
mg5si6_struct_31.vasp,-77.381613,-76.4711517953268
mg5si6_struct_32.vasp,-77.418209,-72.6938642057167
mg5si9_struct_01.vasp,-109.88047,-109.19825573381698
mg5si9_struct_04.vasp,-109.74043,-108.35830151897595
mg5si9_struct_05.vasp,-109.66034,-108.25350182170133
mg5si9_struct_06.vasp,-109.64058,-119.517967220448
mg5si9_struct_07.vasp,-109.54121,-109.56277314461879
mg5si9_struct_08.vasp,-109.55254,-103.74389279321728
mg5si9_struct_10.vasp,-109.04879,-108.68322039967693
mg5si9_struct_11.vasp,-109.0598,-104.38179288115428
mg5si9_struct_12.vasp,-108.96478,-110.05304450370016
mg5si9_struct_13.vasp,-108.59566,-105.29713135730543
mg5si9_struct_14.vasp,-108.60278,-111.03046703018937
mg6si5_struct_01.vasp,-72.468396,-69.68497243658976
mg6si5_struct_03.vasp,-72.090654,-73.96414427900193
mg6si5_struct_04.vasp,-71.946544,-71.13989344587367
mg6si5_struct_05.vasp,-71.170458,-69.34308429469306
mg6si5_struct_06.vasp,-71.119198,-67.8710056903972
mg6si5_struct_07.vasp,-71.0077,-75.29839327820626
mg6si5_struct_08.vasp,-70.916187,-68.94901922990068
mg6si5_struct_09.vasp,-70.779939,-70.99305456598196
mg6si5_struct_10.vasp,-70.649293,-72.71586774512627
mg6si5_struct_12.vasp,-70.573361,-74.98226305269219
mg6si5_struct_13.vasp,-70.510409,-70.62055026395373
mg6si5_struct_14.vasp,-70.94135,-70.3813740044547
mg6si5_struct_15.vasp,-70.137559,-69.64714885661809
mg7si4_struct_01.vasp,-64.08321,-65.43873518202223
mg7si4_struct_02.vasp,-64.01856,-63.888690990069925
mg7si4_struct_03.vasp,-64.013365,-64.37729194350788
mg7si4_struct_04.vasp,-63.739648,-67.0421893068343
mg7si4_struct_05.vasp,-63.711758,-73.41631579955677
mg7si4_struct_06.vasp,-63.710215,-60.54363642705923
mg7si4_struct_07.vasp,-63.629811,-66.04398010800111
mg7si4_struct_08.vasp,-63.247745,-63.0141609927001
mg7si4_struct_09.vasp,-63.161571,-65.43359405319427
mg7si4_struct_11.vasp,-63.120677,-68.2132412889671
mg7si4_struct_12.vasp,-63.151728,-62.627816845663105
mg7si4_struct_13.vasp,-62.626784,-63.72680692874571
mg7si4_struct_14.vasp,-62.65438,-63.29641572999793
mg7si4_struct_15.vasp,-62.574192,-63.05479497443539
mg9si5_struct_01.vasp,-84.676431,-81.23218147184696
mg9si5_struct_02.vasp,-84.622549,-86.47976118498197
mg9si5_struct_03.vasp,-84.522917,-82.033908534253
mg9si5_struct_04.vasp,-84.358299,-86.24944353323016
mg9si5_struct_05.vasp,-82.630229,-82.32006216590122
mg9si5_struct_06.vasp,-82.595093,-81.73878867553402
mg9si5_struct_07.vasp,-82.11978,-85.29959845840108
mg9si5_struct_08.vasp,-81.847624,-78.47804924026933
mg9si5_struct_09.vasp,-83.095888,-80.98610220145156
mg9si5_struct_10.vasp,-81.668246,-86.04568940536872
mg9si5_struct_13.vasp,-80.6631,-93.76357229582186
mg9si5_struct_14.vasp,-80.633321,-83.75064583387336
mgsi2_struct_01.vasp,-12.286875,-13.046668959233187
mgsi2_struct_02.vasp,-24.437109,-26.162131375987627
mgsi2_struct_03.vasp,-48.795727,-48.640597935248664
mgsi2_struct_04.vasp,-48.71636,-47.559349666363
mgsi2_struct_05.vasp,-48.57669,-47.866796549885365
mgsi2_struct_06.vasp,-12.143788,-11.452955920621434
mgsi2_struct_08.vasp,-48.428717,-47.39495653738113
mgsi2_struct_09.vasp,-48.377238,-45.0415494693048
mgsi2_struct_10.vasp,-48.266758,-48.738371628114244
mgsi2_struct_12.vasp,-48.261881,-51.499951116881654
mgsi2_struct_13.vasp,-24.124715,-23.594936984257032
mgsi2_struct_14.vasp,-96.419821,-95.30306671922828
mgsi2_struct_15.vasp,-96.430852,-94.37689174590493
mgsi2_struct_16.vasp,-96.417598,-96.26283737052665
mgsi2_struct_18.vasp,-48.175419,-44.69021235080025
mgsi2_struct_19.vasp,-48.170576,-45.97051947020268
mgsi2_struct_20.vasp,-48.18016,-47.73865575875132
mgsi2_struct_21.vasp,-48.123136,-47.254940722602605
mgsi2_struct_22.vasp,-48.124136,-45.768539523760936
mgsi2_struct_23.vasp,-48.133047,-48.20332524946921
mgsi2_struct_24.vasp,-96.177047,-99.49556810812757
mgsi2_struct_25.vasp,-24.042234,-24.398207615246577
mgsi2_struct_26.vasp,-48.086241,-47.441103703320074
mgsi2_struct_27.vasp,-48.09461,-48.94260850551276
mgsi2_struct_28.vasp,-24.042901,-24.409855100892685
mgsi2_struct_29.vasp,-24.043077,-22.62251952502244
mgsi2_struct_31.vasp,-24.044465,-22.968850807562916
mgsi2_struct_32.vasp,-24.040968,-24.548149006494384
mgsi2_struct_35.vasp,-48.051255,-46.97161286690707
mgsi2_struct_36.vasp,-48.050943,-42.219758506429145
mgsi2_struct_37.vasp,-96.10229,-96.09609814029135
mgsi2_struct_38.vasp,-48.042734,-45.392167075760455
mgsi2_struct_39.vasp,-24.006582,-25.01891282576311
mgsi2_struct_40.vasp,-48.03704,-49.04365997548995
mgsi2_struct_41.vasp,-24.036762,-24.95953155786512
mgsi2_struct_42.vasp,-48.0152,-42.85016790509222
mgsi2_struct_44.vasp,-48.041676,-47.84543257674146
mgsi2_struct_45.vasp,-23.983883,-23.8444846717086
mgsi2_struct_46.vasp,-96.040381,-96.69381278845943
mgsi2_struct_47.vasp,-95.930632,-88.0944230936325
mgsi2_struct_48.vasp,-95.904325,-93.5031212334756
mgsi2_struct_49.vasp,-47.953837,-46.19822965948672
mgsi2_struct_50.vasp,-95.912537,-95.70317076549081
mgsi2_struct_51.vasp,-47.948928,-44.39930809472668
mgsi2_struct_52.vasp,-47.945891,-47.54033486931033
mgsi2_struct_53.vasp,-95.826897,-92.57154684494776
mgsi2_struct_55.vasp,-47.886367,-47.866390671293686
mgsi2_struct_56.vasp,-47.853032,-46.727384648876765
mgsi2_struct_58.vasp,-48.232402,-47.706050178552985
mgsi2_struct_59.vasp,-47.765493,-44.2550859018162
mgsi2_struct_60.vasp,-47.712286,-45.903488005819085
mgsi2_struct_61.vasp,-47.920496,-51.83869369969285
mgsi2_struct_63.vasp,-47.418281,-41.58859884733903
mgsi2_struct_65.vasp,-47.24052,-41.09712292054334
mgsi_struct_01.vasp,-42.035909,-42.08901640250296
mgsi_struct_04.vasp,-41.805511,-38.50646136660285
mgsi_struct_05.vasp,-27.831014,-29.10178702201705
mgsi_struct_06.vasp,-41.602561,-40.61198115964811
mgsi_struct_07.vasp,-41.463768,-38.978559665483616
mgsi_struct_08.vasp,-41.353884,-42.694777901234886
mgsi_struct_09.vasp,-82.745091,-83.15736510183562
mgsi_struct_10.vasp,-41.215956,-39.69011403410464
mgsi_struct_11.vasp,-82.45433,-83.53999791962899
mgsi_struct_12.vasp,-82.424749,-82.95974835025444
mgsi_struct_13.vasp,-82.429411,-82.22002846724105
mgsi_struct_14.vasp,-41.197462,-47.90055826910243
mgsi_struct_15.vasp,-82.400878,-82.15785524660635
mgsi_struct_16.vasp,-41.112813,-43.21815834520693
mgsi_struct_17.vasp,-82.182471,-83.06759828664228
mgsi_struct_18.vasp,-82.102468,-80.50280226840798
mgsi_struct_19.vasp,-41.001493,-38.675436003930216
mgsi_struct_20.vasp,-40.986157,-40.18634980983913
mgsi_struct_21.vasp,-40.979705,-41.37129390922354
mgsi_struct_22.vasp,-40.947003,-42.17583137339318
mgsi_struct_23.vasp,-40.944643,-42.71663999810495
mgsi_struct_24.vasp,-40.973563,-40.154217754664415
mgsi_struct_25.vasp,-40.952301,-41.12132804382901
mgsi_struct_27.vasp,-40.811383,-42.82761089487579
mgsi_struct_28.vasp,-82.222748,-84.18468686510846
mgsi_struct_29.vasp,-40.69384,-40.838941088505095
mgsi_struct_31.vasp,-40.598719,-42.52956071571839
mgsi_struct_32.vasp,-40.499177,-43.83591171142032
mgsi_struct_33.vasp,-6.7060336,-6.506661116026024
mgsi_struct_34.vasp,-40.362384,-44.65074988227276
